wall_up,wall_down,wall_left,wall_right,meat_up,meat_right,meat_down,meat_left,distance_x,distance_y,direction
226,286,382,130,0,0,0,0,-54,51,1
226,286,385,127,0,0,0,0,-51,51,2
229,283,385,127,0,0,0,0,-51,48,1
229,283,388,124,0,0,0,0,-48,48,2
232,280,388,124,0,0,0,0,-48,45,1
232,280,391,121,0,0,0,0,-45,45,2
235,277,391,121,0,0,0,0,-45,42,1
235,277,394,118,0,0,0,0,-42,42,2
238,274,394,118,0,0,0,0,-42,39,1
238,274,397,115,0,0,0,0,-39,39,2
241,271,397,115,0,0,0,0,-39,36,1
241,271,400,112,0,0,0,0,-36,36,2
244,268,400,112,0,0,0,0,-36,33,1
244,268,403,109,0,0,0,0,-33,33,2
247,265,403,109,0,1,0,0,-33,30,1
247,265,406,106,0,1,1,0,-30,30,2
250,262,406,106,0,1,1,0,-30,27,1
250,262,409,103,0,0,0,1,301,-24,3
250,262,406,106,0,0,0,1,298,-24,3
250,262,403,109,0,0,0,1,295,-24,3
250,262,400,112,0,0,0,1,292,-24,3
250,262,397,115,0,0,0,1,289,-24,3
250,262,394,118,0,0,0,1,286,-24,3
250,262,391,121,0,0,0,1,283,-24,3
250,262,388,124,0,0,0,1,280,-24,3
250,262,385,127,0,0,0,1,277,-24,3
250,262,382,130,0,0,0,1,274,-24,3
250,262,379,133,0,0,0,1,271,-24,3
250,262,376,136,0,0,0,1,268,-24,3
250,262,373,139,0,0,0,1,265,-24,3
250,262,370,142,0,0,0,1,262,-24,3
250,262,367,145,0,0,0,1,259,-24,3
250,262,364,148,0,0,0,1,256,-24,3
250,262,361,151,0,0,0,1,253,-24,3
250,262,358,154,0,0,0,1,250,-24,3
250,262,355,157,0,0,0,1,247,-24,3
250,262,352,160,0,0,0,1,244,-24,3
250,262,349,163,0,0,0,1,241,-24,3
250,262,346,166,0,0,0,1,238,-24,3
250,262,343,169,0,0,0,1,235,-24,3
250,262,340,172,0,0,0,1,232,-24,3
250,262,337,175,0,0,0,1,229,-24,3
250,262,334,178,0,0,0,1,226,-24,3
250,262,331,181,0,0,0,1,223,-24,3
250,262,328,184,0,0,0,1,220,-24,3
250,262,325,187,0,0,0,1,217,-24,3
250,262,322,190,0,0,0,1,214,-24,3
250,262,319,193,0,0,0,1,211,-24,3
250,262,316,196,0,0,0,1,208,-24,3
250,262,313,199,0,0,0,1,205,-24,3
250,262,310,202,0,0,0,1,202,-24,3
250,262,307,205,0,0,0,1,199,-24,3
250,262,304,208,0,0,0,1,196,-24,3
250,262,301,211,0,0,0,1,193,-24,3
250,262,298,214,0,0,0,1,190,-24,3
250,262,295,217,0,0,0,1,187,-24,3
250,262,292,220,0,0,0,1,184,-24,3
250,262,289,223,0,0,0,1,181,-24,3
250,262,286,226,0,0,0,1,178,-24,3
250,262,283,229,0,0,0,1,175,-24,3
250,262,280,232,0,0,0,1,172,-24,3
250,262,277,235,0,0,0,1,169,-24,3
250,262,274,238,0,0,0,1,166,-24,3
250,262,271,241,0,0,0,1,163,-24,3
250,262,268,244,0,0,0,1,160,-24,3
250,262,265,247,0,0,0,1,157,-24,3
